country	year	female_share_senmen_all	female_share_supboard_all	female_share_boards_all	female_share_weight_senmen_all	female_share_weight_supboard_all	female_share_weight_boards_all	zero_share_senmen_all	zero_share_supboard_all	zero_share_boards_all	female_share_senmen_prv	female_share_supboard_prv	female_share_boards_prv	female_share_weight_senmen_prv	female_share_weight_supboard_prv	female_share_weight_boards_prv	zero_share_senmen_prv	zero_share_supboard_prv	zero_share_boards_prv	female_share_senmen_stl	female_share_supboard_stl	female_share_boards_stl	female_share_weight_senmen_stl	female_share_weight_supboard_stl	female_share_weight_boards_stl	zero_share_senmen_stl	zero_share_supboard_stl	zero_share_boards_stl
"FINLAND"	1996	0.1112513	0.0	0.25142172	0.11714213	0.0	0.28224248	0.8839750260145681	1.0	0.5598544973544973	0.1112513	0.0	0.2515881	0.11714213	0.0	0.28237244	0.8839750260145681	1.0	0.5595632031767042			0.0			0.0			1.0
"FRANCE"	1996	0.1980077	0.3616352	0.20253943	0.20419978	0.33333334	0.21035792	0.7916030067835972	0.6037735849056604	0.7831734493237205	0.19805552	0.3605442	0.20255408	0.20425096	0.33898306	0.21032307	0.7916717622599976	0.6122448979591837	0.7832856120257695	0.11111111	0.375	0.18960863	0.16666667	0.2857143	0.22222222	0.6666666666666666	0.5	0.6842105263157895
"GERMANY"	1996	0.094089024	0.14338236	0.09416274	0.1009815	0.18110237	0.101248	0.8849315068493151	0.7647058823529411	0.8846139644795629	0.09409947	0.15	0.09418708	0.10099103	0.18699187	0.10127652	0.8849187247750583	0.7538461538461538	0.8845841335500074	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
"HUNGARY"	1996	1.0	0.33333334	0.6111111	1.0	0.33333334	0.5	0.0	0.0	0.0	1.0	0.33333334	0.6111111	1.0	0.33333334	0.5	0.0	0.0	0.0									
"IRELAND"	1996	0.2780363	0.0625	0.27803293	0.25700435	0.07692308	0.25684324	0.45407625868969875	0.875	0.4539709290077944	0.27839997	0.0	0.2783859	0.25793493	0.0	0.25785434	0.45343318215378126	1.0	0.45343318215378126	0.012820513	0.083333336	0.020604396	0.011764706	0.125	0.020833334	0.9230769230769231	0.8333333333333334	0.8461538461538461
"ITALY"	1996	0.18376069	0.09107143	0.16388045	0.2037037	0.086538464	0.14352942	0.7692307692307693	0.7307692307692307	0.6666666666666666	0.17982456	0.09107143	0.16267008	0.19607843	0.086538464	0.1421801	0.7894736842105263	0.7307692307692307	0.6714285714285714									
"LATVIA"	1996	0.0		0.04	0.0		0.1	1.0		0.8	0.0		0.04	0.0		0.1	1.0		0.8									
"LUXEMBOURG"	1996	0.055555556	1.0	0.083333336	0.083333336	1.0	0.15384616	0.8333333333333334	0.0	0.8333333333333334	0.055555556	1.0	0.083333336	0.083333336	1.0	0.15384616	0.8333333333333334	0.0	0.8333333333333334									
"NORWAY"	1996	0.0		0.0	0.0		0.0	1.0		1.0																		
"POLAND"	1996	0.25		0.22222222	0.25		0.22222222	0.75		0.7777777777777778	0.25		0.22222222	0.25		0.22222222	0.75		0.7777777777777778									
"ROMANIA"	1996	0.16666667		0.14285715	0.16666667		0.14285715	0.8333333333333334		0.8571428571428571	0.2		0.16666667	0.2		0.16666667	0.8		0.8333333333333334									
"SLOVENIA"	1996	0.175	0.19530244	0.18915343	0.16666667	0.18	0.18181819	0.825	0.5945945945945946	0.7272727272727273	0.175	0.20072752	0.19108358	0.16666667	0.18181819	0.18292683	0.825	0.5833333333333334	0.7244897959183674									
"SPAIN"	1996	0.16909125	0.12328026	0.18236564	0.18318318	0.13439636	0.19228837	0.7955580865603644	0.8013698630136986	0.754325259515571	0.16977867	0.12328026	0.18233764	0.18358532	0.13439636	0.19225857	0.7951807228915663	0.8013698630136986	0.7544029087603681	0.07692308		0.20061728	0.125		0.20833333	0.8461538461538461		0.7037037037037037
"SWEDEN"	1996	0.12828948	0.0	0.19144571	0.13375796	0.0	0.21438646	0.868421052631579	1.0	0.7178030303030303	0.12828948	0.0	0.19144571	0.13375796	0.0	0.21438646	0.868421052631579	1.0	0.7178030303030303									
"TURKEY"	1996	0.20689656		0.14756945	0.17948718		0.140625	0.7586206896551724		0.6458333333333334	0.20689656		0.14756945	0.17948718		0.140625	0.7586206896551724		0.6458333333333334									
"UK"	1996	0.07791582	0.23340207	0.079039365	0.07476127	0.22179289	0.07448225	0.8981226806374154	0.7479376718606783	0.8935929546739921	0.077994786	0.24017942	0.079146005	0.07485043	0.23058252	0.074622676	0.8980734326138774	0.7422096317280453	0.8935683639601716	0.033333335	0.009114584	0.024152989	0.03773585	0.03448276	0.034351144	0.9259259259259259	0.9375	0.90625
"AUSTRIA"	1997	0.12135598	0.039029535	0.117259935	0.13333334	0.06716418	0.12687053	0.8501742160278746	0.9240506329113924	0.8526490066225165	0.121780306	0.038288288	0.11780461	0.13381295	0.06349207	0.12729658	0.8496503496503497	0.9324324324324325	0.8526228143213989	0.0	0.05	0.023809524	0.0	0.125	0.07692308	1.0	0.8	0.8571428571428571
"BELGIUM"	1997	0.20729	0.0	0.25538892	0.21036318	0.0	0.26594353	0.7737821605990954	1.0	0.6750716623119657	0.20729	0.0	0.25540188	0.21036318	0.0	0.26595333	0.7737821605990954	1.0	0.6750551764377585									
"BULGARIA"	1997	0.20559287	0.0	0.20465294	0.21328513	0.0	0.21156317	0.7549778761061947	1.0	0.7559179379274066	0.20559287	0.0	0.20465294	0.21328513	0.0	0.21156317	0.7549778761061947	1.0	0.7559179379274066									
