freq,reason,sex,age,unit,geo\TIME_PERIOD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,FAM_CARE,T,Y20-64,PC_POP,BG,0.3,0.3,0.2,0.1,0.2,0.1,0.2,0.2,0.2,,0.1,,,,,0.3,0.2,0.2,0.2
A,FAM_CARE,T,Y20-64,PC_POP,CH,1.7,1.6,1.3,1.2,1.4,1.2,1.1,1.1,1.1,1.1,1.1,1.0,0.9,0.9,0.8,1.0,1.0,1.0,0.9
A,FAM_CARE,T,Y20-64,PC_POP,CY,0.8,0.5,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.4,0.5,0.3,0.3,0.6,0.4,0.3,0.4
A,FAM_CARE,T,Y20-64,PC_POP,CZ,0.6,0.6,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.5,0.3,0.2,0.2,0.2
A,FAM_CARE,T,Y20-64,PC_POP,DE,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,0.7,0.8,0.7,0.7
A,FAM_CARE,T,Y20-64,PC_POP,DK,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1
A,FAM_CARE,T,Y20-64,PC_POP,EA21,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.5
A,FAM_CARE,T,Y20-64,PC_POP,EE,1.1,1.3,1.0,0.9,0.9,0.9,1.0,0.8,0.8,0.9,1.0,1.0,1.0,0.8,1.0,0.4,0.5,0.5,0.4
A,FAM_CARE,T,Y20-64,PC_POP,EL,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.4,0.5
A,FAM_CARE,T,Y20-64,PC_POP,ES,0.7,0.7,0.6,0.6,0.7,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.7,0.7,0.6,0.6
A,FAM_CARE,T,Y20-64,PC_POP,EU27_2020,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.6,0.5,0.5,0.5
A,FAM_CARE,T,Y20-64,PC_POP,FI,,,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
A,FAM_CARE,T,Y20-64,PC_POP,FR,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.6,0.5,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.4
A,FAM_CARE,T,Y20-64,PC_POP,HR,0.5,0.4,0.4,0.4,0.4,0.5,0.6,0.8,0.5,0.5,0.7,0.6,0.6,0.4,0.3,0.3,0.4,0.4,0.3
A,FAM_CARE,T,Y20-64,PC_POP,HU,0.7,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.9,0.9,0.8,0.8,0.8,0.9,0.4,0.3,0.2,0.2
A,FAM_CARE,T,Y20-64,PC_POP,IE,0.6,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.5,0.5,0.4,1.0,1.7,1.5,1.5,1.3,1.0,1.1,1.0
A,FAM_CARE,T,Y20-64,PC_POP,IS,,,,,,,,,,,,,,,,,,,
A,FAM_CARE,T,Y20-64,PC_POP,IT,1.7,1.7,1.7,1.4,1.4,1.2,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.0,0.8,0.8,0.6
A,FAM_CARE,T,Y20-64,PC_POP,LT,,0.3,0.6,0.4,0.4,0.3,0.3,0.4,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1
A,FAM_CARE,T,Y20-64,PC_POP,LU,0.3,,0.3,1.2,0.9,0.9,0.7,0.7,0.7,1.0,0.9,1.1,0.9,0.7,0.6,0.4,0.3,,
A,FAM_CARE,T,Y20-64,PC_POP,LV,1.6,1.6,1.1,1.2,1.0,1.2,0.9,0.8,0.9,0.9,0.9,0.6,0.4,0.6,0.8,0.6,,,
A,FAM_CARE,T,Y20-64,PC_POP,ME,,,,,,,,0.4,0.5,0.3,,,0.3,,,,,,
A,FAM_CARE,T,Y20-64,PC_POP,MK,0.9,0.6,0.6,0.6,0.3,0.4,0.5,0.6,0.8,0.6,0.5,0.7,0.8,0.9,0.8,0.7,0.6,0.7,0.8
A,FAM_CARE,T,Y20-64,PC_POP,MT,0.5,0.6,0.7,0.7,0.6,1.0,1.1,0.9,0.8,0.9,0.9,0.8,0.6,0.5,0.4,0.3,,,0.3
A,FAM_CARE,T,Y20-64,PC_POP,NL,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5
A,FAM_CARE,T,Y20-64,PC_POP,NO,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,,,0.2,0.2,,,,0.2
A,FAM_CARE,T,Y20-64,PC_POP,PL,1.3,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.4,1.5,1.5,1.5,1.6,1.5,0.7,0.5,0.5,0.6
A,FAM_CARE,T,Y20-64,PC_POP,PT,0.1,0.1,0.1,0.1,,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.3,0.3,0.3,0.3
A,FAM_CARE,T,Y20-64,PC_POP,RO,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,0.2,0.1,0.1,0.1
A,FAM_CARE,T,Y20-64,PC_POP,RS,,,,,0.9,0.7,0.9,1.0,1.1,1.3,1.0,0.9,1.1,1.1,1.0,0.5,0.4,0.4,0.3
A,FAM_CARE,T,Y20-64,PC_POP,SE,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1
A,FAM_CARE,T,Y20-64,PC_POP,SI,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,
A,FAM_CARE,T,Y20-64,PC_POP,SK,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.6,0.7,0.6,0.5,0.5,0.3,0.2,0.3,0.2
A,FAM_CARE,T,Y20-64,PC_POP,TR,0.3,0.3,0.3,0.5,0.5,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.5,1.0,1.3,1.2,1.6,2.1
A,FAM_CARE,T,Y20-64,PC_POP,UK,,,1.1,1.2,1.1,1.0,1.2,1.1,1.1,1.1,1.1,0.9,0.8,0.8,,,,,
